Repetition,4,,,,,
Cycle,CLK Edge,MOSI,SS,SCK Sequence,MOSI Sequence,SS Sequence
0,0,1,1,,1111,1111
1,0,1,1,,11111111,11111111
2,0,1,0,,111111111111,111111110000
3,1,1,0,,1111111111111111,1111111100000000
4,1,0,0,,11111111111111110000,11111111000000000000
5,1,1,0,,111111111111111100001111,111111110000000000000000
6,1,0,0,,1111111111111111000011110000,1111111100000000000000000000
7,1,1,0,,11111111111111110000111100001111,11111111000000000000000000000000
8,1,0,0,,111111111111111100001111000011110000,111111110000000000000000000000000000
9,1,1,0,,1111111111111111000011110000111100001111,1111111100000000000000000000000000000000
10,1,0,0,,11111111111111110000111100001111000011110000,11111111000000000000000000000000000000000000
11,,0,1,,111111111111111100001111000011110000111100000000,111111110000000000000000000000000000000000001111
12,,0,1,,1111111111111111000011110000111100001111000000000000,1111111100000000000000000000000000000000000011111111
Interval,1,us,,,,
Clk Sequence,,,,,,
MOSI Sequence,1111111111111111000011110000111100001111000000000000,,,,,
SS Sequence,1111111100000000000000000000000000000000000011111111,,,,,
Begin Table,SCK,MISO,SS,MOSI,Timer Gate,
t,RA1,RA5,RA0,RA2,RA4,
0,0,,1,0,0,
400,0,,1,1,1,
401,0,,1,1,,
402,0,,1,1,,
403,0,,1,1,,
404,0,,1,1,,
405,0,,1,1,,
406,0,,1,1,,
407,0,,1,1,,
408,0,,0,1,,
409,0,,0,1,,
410,0,,0,1,,
411,1,,0,1,,
412,1,,0,1,,
413,0,,0,1,,
414,0,,0,1,,
415,1,,0,1,,
416,1,,0,0,,
417,0,,0,0,,
418,0,,0,0,,
419,1,,0,1,,
420,1,,0,1,,
421,0,,0,1,,
422,0,,0,0,,
423,1,,0,0,,
424,1,,0,0,,
425,0,,0,0,,
426,0,,0,1,,
427,1,,0,1,,
428,1,,0,1,,
429,0,,0,1,,
430,0,,0,0,,
431,1,,0,0,,
432,1,,0,0,,
433,0,,0,0,,
434,0,,0,1,,
435,1,,0,1,,
436,1,,0,1,,
437,0,,0,1,,
438,0,,0,0,,
439,1,,0,0,,
440,1,,0,0,,
441,0,,0,0,,
442,0,,1,0,,
443,0,,1,0,,
444,0,,1,0,,
445,0,,1,0,,
446,0,,1,0,,
447,0,,1,0,,
448,0,,1,0,,
449,0,,1,0,,
450,0,,,,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
